puzzle,ans
累得东坡生了病,疲
说话和蔼,葛
人来便成,更
月来胜景,生
只去一半,吐
早早改革天下安,暮
仍无人来,乃
上边留一半下边加一半,男
忙中一直出错,恼
本日大调整,查
有心幸会,悻
八戒入户读何声,阂
大约重阳聚,奋
国庆休假,填
悔改之后,敏
不准吃,馍
石上堆麻又堆草,蘑
地皮也刮去,坡
备酒杀鸡迎子美,浦
个个都是节俭人,签
春节三日,人
回来了倒平安,啬
争先入川东,色
浴后更衣,裕
心却心愿,原
足使个个笑,跃
缺乏动力,云
曾记来人是和尚,僧
大水多一点,汰
长虫就是蛇,它
贴心人多一点,态
倘若无人也要走,趟
不要哭泣,蹄
确实不洋,填
见人就停,亭
搬东西,投
那边有人,队
旁若无人唯我独尊,俄
无关联,耳
排涝,法
万人多点,仿
二人顶破天,夫
连衣裤,库
伸手拥抱,用
前头有难,友
如鱼得水,渔
作者人去言留,诈
十月又到,肢
半边真半边假,值
多人获优,尤
半途而废,余
立定,趾
保了人却成了傻子,呆
生火烧水,浇
放眼一瞧,焦
且需用力来扶持,助
欲诉无言,斥
进入村中就绿化,又
钉头生锈,秀
没有半点兴致,举
此子一来自称帝,瓜
做不得人,故
屋前抬头山连山,掘
半硬半软先硬后软,砍
二十一日抵闽中,蜡
又添十口,吱
微风轻吹雨声响,羽
用木做成个杖,丈
招手告别捎一言,诏
遇见皇后,现
岁末,夕
门人聚会,闪
横三竖四蜿蜒不直,曲
有钱没人借,错
离席之后又回来,度
还有三日是元旦,儿
夫人走了,二
别具一格,吩
话说猪年,该
先后投稿,搞
听听音乐人愉快,悦
为西部改革出点子,豆
加加减减得十分,封
孟姜绝嗣,盖
孩子丢了无人认,该
没有甜头,甘
拱手告别,共
山上山下一片绿,绌
一次方,咨
小孙告辞,子
春天一日游,奏
左一个右一个两个一齐来并坐,竹
转车去了,专
意下如何,恕
四点前会合,煎
红河之中,江
昔曾有先例,借
不要杂木,九
没有一点良心,恳
老子关前连声叫,联
月字在一边十字少一点,脖
上党多云,尝
拆去前头,斥
播音工作,词
初会人已自倾心,伦
埋头干,理
雄心到老,佬
两点抵京,凉
领头羊,羚
有露无雨,路
首先到山西,普
发言议定,义
边指边说,诣
团结如一人,姻
坛前僧人云游去,增
半枕松涛听林声,淋
没有零头,令
姑娘两点入林间,楼
阵前出击,陆
留心脑后,恼
好的开端,女
四双手,扒
娇女出嫁,乔
十八和尚,棠
一去休矣,体
画里嫦娥,胃
家居一方气魄大,豪
一直在人间,个
猜出半句,狗
用力结个扣,拐
单刀赴会,刽
夺去一半还剩一半,过
不着边际,还
一早来聚会,旱
舍南舍北皆春水,混
箭伤,疾
四下寻先辈,罪
重点将二人拿下,拳
出口果汁,沽
还不走又会有变,迹
半数持枪半带剑,检
阵前相交,郊
果然无人信,课
只少两点,口
人相爱心亦随,恋
陇西行,龙
时差十分,日
醉后丢下我一人,配
颐和园毁一半,顽
主要缺点,王
入口知味,未
忽然没了心,勿
最先就业,显
老赵出走三点回,消
消灭蚜虫,牙
几度登山又下山,凳
捉鳖失鱼,敝
功过各半,边
将相和,斌
后半杯,不
口头答应,啃
一到即亲昵,呢
哑巴谈天,批
苏北相逢,蓬
居心不正怕见鬼,魄
可有奔头,奇
用心改革旧貌变,昔
百无一是提不得,拍
一包点心,咆
添上土有斜度添上水起狂澜得了病需休息添上衣能耐寒,皮
提前合并,拼
居易走之,迫
有人占卜,仆
抽刀断水水更流,沏
吹散一方,欠
窗前巧相逢,窍
求得理解后,球
但见秋来泉水清,铂
烘干,法
边线得分,纷
外边不知是多少里边还是未知数,风
两人朝前走,肤
手续费减半,拂
红梅先后开,杠
二十减八,共
今日一去不复返,含
告状无效,皓
哥一半你一半,何
变形金刚,铡
我须先走,预
来人还债,责
月落枝头,肢
献出忠心,中
牛骑人,朱
重点放在上集,准
合并为一瓶,瓦
消除一半,涂
同去左边,司
两棵小树,标
一点半钟两人到,蚕
钱虽少毕竟是钱,钞
本来就突然有火能掀翻手来约五寸人到不自然,乍
两人有前劲,径
转眼桌空人去,罩
步行聚首有滋味,趣
卯时聚首读声嘹,聊
羊来成群,君
老汉帮手查找,搜
人来凑成桌,卓
成对成双,又
一心寻找死对头,性
话说上卷,誊
持刀无益,割
两人分工,巫
进言成谜,迷
秋前穿越横山,秉
江边人潮云集,浍
与蛇共处,巷
不负前行,征
重阳添丁,町
其声隐现内心窘,尹
白首逢春,禾
三点到湖南,相
左边半桶油,沐
刘备去川中,剂
后跟沾土,垦
连衣库,裤
不见旧日人相会,去
釆取四方,番
一月零一天,胆
原始货币用何物,贷
为何出口,仃
土木结构,杜
人说话要诚实,信
一月二十日,萌
撕掉两边剩下中间还有多少共有二焉,其
用力帮助,且
姑娘觅不见,妥
三中六中要减负,一
异乡重阳聚,细
有心愿成,原
下面三扫光,而
立定请不要说话,靖
昨天换了人,作
山东观日落,鱼
天下方定,吞
着我扁舟一叶,途
四目相交巧开口,园
名利各半,和
不要吼叫,跑
调整一半,证
滩前水落,难
立春就结婚,亲
丧失好胜心,姓
个个佩剑前來,签
岩下角落闻雀声,确
演出一半,汕
火山倾斜九十度,灵
吃尽苦头迎春到,枯
一去休息,体
人在底层,会
拾取禾穗,惠
人人有底线,丛
放弃前面就后悔,敏
请君免开尊口,尹
周扒皮,吉
方得十分,吋
竹下伊人去,笋
搞乱一半,括
清除混乱之后,活
趣中闻尔声,耳
不用心连出错,网
有心减去点点,感
命令一人撤离,叩
力争两点左右到,办
千里挑一辅君前,伊
友人确定前来,硼
指右说左,诣
原来在江西,源
树前友人聚,棚
大方小方得平反,啬
多番复习,翻
一点又到闽中,蚤
来日生子称李旺,枉
贼首被拘押,损
抛开左右寻觅人,仇
七十尚骑大马奔,轲
人去何为,可
独赴异乡会主人,维
二人做伴走川中,价
内衣前后缝补遍,衲
忙中一直添差错,恼
人到长亭,停
内去一人增加一口,同
三点二十,汪
节后一相逢,卫
老子在家,闻
西湖月初吐,涓
陇西行留个影,笼
恳请放心,艮
舍得就舒畅,予
出言无私,讼
吹开杏林一半花,嗽
节前帮办,苏
一连几夕,夙
明月逐人来,因
去掉一直,云
话说八戒二师兄,该
二人一来就成美女,圭
开会不要说话,人
古庙旁边把牛栓,特
请勿放牛,物
不要借人,昔
为中国改革出力,汪
吃得不便宜,馈
两人至异乡,纵
谋夺一半,讨
双十一,圭
勿存二心,惚
克服一半,胡
几回心不虑,虎
没有恒心却有闲心,桓
掺水洗手,渗
又字去掉下头,圣
假日空暇看少林,侍
合金铸成,寿
北方大地,塑
出版后,片
毕业之后就北伐,垡
在前排最后,抹
败后出丑,牧
陕西省人,侠
牵手成功,掷
明月光中人相依,因
说得正是时候,谊
方来赴约,哟
长工资,贺
准点到达,淮
各换掉一半,唤
丢了弹弓,单
还不去剃头,递
连夜寻父,爹
一视同仁你我他,仨
退休后双方团聚,侣
十二点重阳聚,单
婚前也曾会面,她
治水去了有一月,胎
倘若无人挺身而出,躺
十分多话,讨
寺前拴一牛,特
剥去画皮,田
干活安心,恬
叙述一半,途
马奔前头,驮
不要次瓷,瓦
用刀剜出来,宛
江边全无人,汪
费尽心思要男孩,町
河水奔流得先防,阿
辞职之后,耳
云南省,二
普普通通半张帆,凡
西沙驻军,浑
零售一半,霍
胡乱插一朵,机
放水入中原,激
采石矶,几
心有余悸,季
人立闺中,佳
很难保留一半,艰
门前竹遮明月光,简
将要吃苦头,蒋
战前选先锋,钻
漫无边际,曼
放眼南昌市,帽
旁边有一虫霸道又横行,螃
内外一条线,丙
左右逢源,冰
提前到九点,执
二点方到村前,柬
只得改直来,嗔
一人隐在你身边,称
盛上再说,诚
一半喜欢,吹
黑土地,畜
人人一齐来,丛
太少了点,大
小山倒了,当
骑大马去陝西,阿
村前银装素裹,柏
两点独自来,首
的哥换班,较
一旦就业翻了身,晋
城池半残破,地
打手出界,丁
花前重逢又交心,懂
丁字上出头前边又加点猜完这条谜人人都说中,对
得奖之后,夺
千金买鹅头,娥
一直做工,二
见人有份,分
草木生繁叶,世
病根半除,痕
银行内部要调整,很
湖水枯干要长草,葫
熄灭炉火,户
移山造田,画
田里损失田外补,回
发出呼声不重视,忽
连夜向前一直走,够
堤西水无波,坡
田畦吃掉虫,畦
共有白云心,其
阵前双刀会,那
留下一点,亩
后悔没人来,母
又到集上听南音,难
部分揭晓,挠
人前人后当跟班,从
破除谣言人人安,徭
不见椰树,耶
择日上映,央
不用歇后语,谒
开头,一
水利,溢
烛火燃尽方来电,蝇
东征西讨,证
个个会做筝,争
春节三日西北游,仑
卸下刨刀,包
换班,便
太原馒头,饼
用手牵牛,扭
省略一半还有一半,畔
后期制作大变样,俞
旷野日落人居横山,庚
勇者出力,甬
叙述之前,途
鸡西历史,醋
一人在中间,束
一点走到桥头,述
一闪人不见,闩
前足碰后蹄,啼
杨柳枝头,森
家要一半,安
梅花半放有人来,茶
小桥架云端,尝
二人合用七把刀,彻
掌握前一半,撑
支持复习,翅
入水则人浮,俘
村后斜雁经庭前,府
夜宴杯不空,案
磨上添米,糜
百姓有盼头,眠
一日到晚,免
犬子成器,猛
请足下担待,提
话说春到人间,桧
登上采石矶,凳
半数赤脚,肚
一夜成名,口
没有心情发言,请
束手就擒,禽
香烟头,秋
最先离去,取
试题全密封,圈
点滴积累可成金,全
破解出一半,确
旧时燕,鹊
与君相伴下西洋,群
若得西湖桥畔住,沐
多次调整工资,贡
脱去金钩,勾
人都有点虚荣心,佗
短兵相接,比
一同到前沿,洞
酒席散后又重逢,渡
语不惊人,评
病了之后且留下,疽
中国得一球,蝈
有水灌半缸,罐
一心朝圣,怪
官居左相,棺
后辈斩仇人,轨
嘴巴合拢,吧
水落石出,泵
一月二日离开昆明,比
二月上山,崩
玉石白无瑕,碧
偏不派人来,扁
俩口同入京,禀
潭水清清,覃
喜上心头,志
蟾宫里面,肿
清水沟,勾
天上星点点,关
超前领取,趣
隐藏树后,权
三星聚水泊,泉
来到苏北,莱
雨润苗心,蕾
本利无一存,梨
拆掉竹篱别靠近,离
层云化作雨水来,漏
下岗之后雄心在,仙
依例开除二人,裂
生火化掉一半雪,灵
大雨一下就变小,零
别把刀丢掉,另
汉高祖文武双全,刘
初到东京,昨
且待二人归来,俎
一点一滴凑起来,奏
东拼西凑没有用,揍
清除碎石,卒
村前足踪灭,棕
这次让她也去,姿
湘西到闽中,浊
远山在水一方,治
前程有失,秩
阵前会云长,郑
抵消后大小相等,捺
红杉树,株
先喜后悲,志
一人比二人高,众
二人齐出征,正
横竖又相连,支
长安一片月,胀
两个耳朵不一样,耶
央求一多半,殃
见信未见人,言
小霸王一去不复返,尘
一言以蔽之,韦
获得硕果后,颗
永居西湖,泳
留下共同复习,翼
谈吐合宜,谊
个人得失,佚
吞下半壶豆,噎
村边放羊,样
两边碰掉脑袋,哑
无一成句,旬
我邀二人来,徐
名扬四方走天下,歹
三人同日到村前,椿
迎春人相会,休
视而不见一笔钩,礼
转业有点心牵挂,恋
内中一人已古稀,辆
杯杯不落空,林
人在水一方,洽
岁岁除夕在京中,咄
春节三日多云,会
丢了那边有这边,随
不见牛头马面,午
除了骨头无油水,冑
为人不坏,食
不用言语心意到,悟
多心才愁,秋
支援桂西,枝
车队缺人重新组建,阵
第一门生,闸
西装一套,酉
引水入津,聿
快语无心非我意,诀
重阳佳节人团聚,畦
用掉一半添一半,拌
放权之中厂变样,板
四方归客心,备
独上西楼探幽竹,笨
岭前月弄影,崩
二人扯皮,彼
为人不偏力无边,遍
乡下变化脱贫后,纷
赠送钱财,曾
允许多一点,充
带头一游,川
此人横竖要相见,什
码头对面山重山,础
秦明先会两头蛇,蠢
此字用心方悟得,五
后劲不小,夯
猜得出色获第一,狎
村头一点来聚会,术
来日定会成明星,腥
晴空一色海水清,晦
苏州话里有错,误
去西方,兀
宫中相逢人相偎,喂
东魏虽亡西魏在,委
杠中有杠,枉
从此放宽心,林
十八相送情心切,睛
一生为官受人使,史
用心整容,蓉
抽劳力植树,荣
人手短缺,任
埋头掏瓜瓤,壤
上客且安坐,宜
村前纵橫又相连,枝
二人前面拉,扶
解国之围,玉
半现妖态面三藏,耍
失去金钱权又空,栈
提前退休,是
采草药,约
村寨之前巧相逢,宋
谷旁有人看守,俗
上台要稳别着急,私
二人与我并肩站,徐
困难之中团结紧,休
有点爱心姐先去,宜
三点到宁波,涌
心上只有我生怕别人强,忌
人人要虚心,伦
台下暗箭射上台,唉
得派二人去码头,碍
本末倒置,未
分开是毛竹合之著雄文,笔
小王和小白同坐石头上,碧
四方卷入这一仗,便
用心擦掉衣上斑,表
北宋出兵,宾
两省去一人,丙
公开隐私,并
一日犹春在,夫
独自会客中,夏
追捕得十分紧,搏
卧掩花窗未解衣,补
一夜浅水清如许,残
左边一点就红右边一点也红两边都不加点就成汗青之简,册
四方借债还说大话,吹
二十一日酉时,醋
一步登天,大
除夕之后是初一,歹
妇女节南京相聚,当
三八妇女节,旧
酒后灯灭入醉乡,酊
两点独自乘扁舟,道
堂下置木几,垛
不言而化,讹
有客来临频让步,额
进门方能听得见,耳
三八前夕,萝
辩论赛,皆
拉她也不来,接
花前柳畔保贞操,节
穷根定要去,劫
一周内到达江西,洁
一人走高跷,介
两个小木偶,禁
三明初会,晶
客气话,警
为百姓目不能眠,民
城头一轮明月隐,坦
方至陕西伊人去,郡
草方配成香气浓,芳
三八红旗手方到,妨
星临万户,房
纯系地方话,访
激动无语泪先流,放
落月照川东,肥
千人一口称活佛,沸
着手装扮,分
一只狗张口叫不休,吠
古稀江边乘扁舟,涟
亲手题诗默无言,持
先绕一周,绸
独闻小贩吆喝声,读
闽中奇才世无双,独
陕西人,队
丢掉上头前功尽弃,劫
日光耀眼,晃
梦游少林偶得句,够
一字有十口历史很悠久,古
湖光水月鼓声扬,古
船方离去又返回,般
城头两人赏秋色,锉
分到江西,汾
秋后梧桐半凋零,焚
内心转变带头改革,愤
二三个,奉
人要有一点雄心,伏
腐肉已除,府
直到进城后才知是广州,兰
人来插一杠,栓
两点结冰,水
提前全到,拴
牟利一半,私
心牵四方,思
束在中间吹散两边,嗽
有点偏听偏信,诉
早上一别人再会,桌
走西口,兀
认得影后来看病,诊
拆除一点增加三点,浙
一直一撇一点,真
睁眼瞎,争
整改之后,政
义同手足成知音,肢
年初设计获批准,许
一气之下奔异乡,纥
欢后消前嫌,歉
家里杀猪贺生子,字
观察不到中间,宗
抢先接旨,指
表面不心急却又眉紧锁,皱
竹子,笋
自古清明少有晴,湖
清净点点请莫言,静
十车兵器,载
亲人去后室内空,宰
我们来自四方,咱
句中改两点,匀
唯有东西夜雨声,预
悉心看守无人偷,愈
对君倾心两相依,琵
花开之后方闻香,芳
利前不贪有后福,副
山东省一曰游,鱼
倾心明月下,旨
三水压倒山,当
西瓜里有子,孤
一肚生下龙凤胎,好
三个十不出头,正
一半满一半空,江
早不说晚不说,许
头戴金冠称大王,主
嘴巴不多却能闹,吵
双人同过独木桥,从
有人本领大能在云上飘,会
偶尔多一人,你
一了百了,皖
拿不出手,合
愚公之家,寓
八分之七,版
路要自己走,起
十八中有口,束
文武双全,斌
少小离家老大回,夭
一二三四五六七九十,口
一加二不等于三,土
抓一半跑一半,抱
十二月,青
横山上面三根草,当
多少一半,夕
表里如一,回
相见,规
颠三倒四,泪
房顶上盖草,芦
建国方略,或
书签,颊
半朋半友,友
人在白云上,会
四张嘴没头没尾,田
干涉,步
一阴一阳一短一长一昼一夜一热一凉,明
家中添一口,豪
天没有它大人有它大,一
依山傍水,汕
美好的开端,姜
抽水泵,石
不上不下,卡
绝色梅艳芳香消花已谢,丰
西湖之夜,液
一个病老头女士人人求,瘦
因为自大一点惹得人人讨厌,臭
李字少了木不作子字猜,一
加减后得十分,寺
尖在上不在下,小
转业之前留一手,挛
燕山有只燕头尾全不见心口送猎人翅膀在伸展,北
一对燕子天空飞一只瘦来一只肥一年四季来一次一月倒要来三回,八
波动舟留求剑痕,必
不要不好意思,土
一来就当官,史
小虫有文化到处嗡嗡飞,蚊
半个朋友,有
老头耍滑头,嫂
王白两先生坐在石头上,碧
流水已逝去孤树竟成荫,梳
日子变了,阳
千金之子,媳
会心的一笑,兑
喜上眉头,声
山连丘丘连山石山土丘紧相连,岳
独眼龙,省
左看两点水右看水两点细看不是水敲敲硬邦邦,冰
来日是大暑,奢
风吹草低见牛羊,蓄
三十天除以二,胖
舌头,千
本市一游,柿
僧人去尽寺半存,增
偏旁部首,位
方其中圆其外,回
水流二道相间三尺,渊
点点成金,全
宝玉出走牵连下人,定
一别音容两渺茫,查
居心不正吕奉先,希
话说光武帝,诱
上下二十日吃不到口里,乾
生有一子号青莲,柏
一旬少一天,万
挑担有买卖,捏
上面有两个底下有一对,竺
借钱得把东西送,错
十个哥哥力量大一切困难都不怕,克
吕布桥边起芳心,秦
古稀之年又重逢,轰
一字四笔八个头内中有水不外流,井
西汉衰亡东汉兴,双
吕雉半作无知状,唯
左看三十一右看一十三,非
上面去下面下面去上面中间去两边两边去中间,至
女生一白遮百丑,妞
灿灿火光相连岁岁除夕团聚,出
林字多一半不当森字猜,梦
完颜阿骨打登基,键
恻隐之心人有之,侧
有水不清洁,军
如有人缘成姻缘,一
狗吠声连户内外,润
二,息
小船儿轻轻飘荡在水中,心
可上又可下老二喊老大,哥
如把泰山倒过来,仗
一个小朋友进门瞧一瞧,问
古竹参天,笑
一箭射中缺口,医
秋叶正离离,和
果儿在上头苗儿在下头鱼儿在中间其实在里头,田
人人动手,竿
有心求偶无人理,愚
春节二日人已去,一
二十六不足二十八有余,共
初听鹧鸪啼,鸣
半帘残月听蛩声,穹
入闽中已三周,蜡
七仙女下凡,几
从上至下你说念啥,坐
云南昆明二日游,能
后村闺中听风声,封
变相回扣不堪入目,操
一日千里,量
一生无邪半尘不染,址
看颜色漂亮见声音响亮,靓
千里江陵一日还,皈
没点良心人切齿,恨
湖光水月鸟飞鸣,咕
真到长大才变美,兰
如今少女有派头,浛
您说此字不难猜成双便是好伴侣,月
五双,支
出手就打,丁
天方夜谭,歼
人生有变爱心不变,牵
学一段会下段,尝
左边不亮右边亮两者很少同时露面合并起来亮堂堂,明
此字不凡仅四笔无横无直无钩曲皇帝见了要起身圣人见了要施礼,父
才始送春归,材
恻隐之心人皆有之,侧
左边绿右边红左右相遇起凉风绿的喜欢及时雨红的最怕水来攻,秋
未来成果多,哆
拘留三十天,捐
左边一个缺右边一个多,价
连日有雨,雷
小心一点走上来,寺
见人就笑,竺
又添了一口,亟
视而不见听而不闻,祈
别解方有味,未
四面密不透风中间常刮北风,图
海市蜃楼是幻景,觑
若不造反未必会乱,举
个个都到贵阳来,巩
客心点点寒意起,冬
年终岁月不缺鱼米,鳞
上八是倒八下八是正八十字当中架人人需要它,米
阢家杀猪,院
春夜来雨报平安,泰
再加一点点力,苏
两个连顶上一个师,筛
左边九加九右边九十九,柏
同学少年多不贱,篑
一个小锅炒豆豆,心
一只大黑狗不叫也不吼,默
听有看无古有今无叶有花无,口
又托一叶寄知音,吱
对人要格外大方,徊
花一半叶一半,华
一时差十分,旦
十一点点十一,幸
口中有十八,困
上海居民,伸
去村后割茅草,柔
上面出头说原因下面出头是冠军上下出头是上海都不出头在农村,田
一向上爬忘了本,未
内乱到后来变心,恻
一字三两点一直未猜出,羊
虽有十张口只有一颗心,思
轻舟逐浪送离愁,秋
西伯适遇姜太公,倘
多一点能吃少一点有用,术
反手上篮逼声近,笔
直上云端,去
遇火燃烧遇水挨浇若猜尧字智谋不足,林
投我以木桃,兆
声称掌握了一半,撑
连日多玄奥一定要解开,蓄
日落看木偶,梦
言来会佳人,谁
分道扬镳,路
考前整日在复习,翥
画龙未点睛,省
秋叶落后人全离,程
一旬,早
牛羊合群,羞
朝来见古庙,广
残月下西楼,屡
何须杀人灭口,丁
峰峦重叠草出芽,茁
一口吃掉五颗丸子,熟
石字出头不是右字,岩
一月又一月月月紧相连,用
早上莫来傍晚来,暮
二直又二直,坚
两个太阳,昌
做人首先要大方,烟
六一的活动,韵
分开三个人合起来是一群,众
一块豆腐切成四块放到锅里盖上锅盖,画
溪边林木森森,染
二人同过独木桥顺着次序往前跑,丛
不是上不是下下在上上在下,一
心系人家生妒忌,妃
平反回来,啬
一字不撇也不捺,十
上身是小山下身是大山二字相结合全身都是山,岳
反扣成立,啦
一横一竖写一回,固
右边有左边无后面有前面无,口
中学人生起变化,牵
老鼠不见了,一
空山之中一亩田,画
上头在水里下头在天空要问家在哪老家在山东,鲁
助残出力献点爱心,宜
名扬四方芳心倾倒,外
先写了一撇后写了一画,孕
带鱼不多,羊
古稀之年心不悲,辈
涂上白反而黑,七
三人结伴来嘉兴,秦
正确对待错误,艾
讨人喜欢,竺
汗水换来了庄稼,秆
财色当头总失败,负
宝玉不在姑娘在,安
安心疾已平,俞
有耳能听到有口能请教有手能摸索有心就烦恼,门
写上去,与
短一些再短一些,此
东西南北心相连,愣
左边二十日右边三十天,朝
兔子耳朵,聊
自相矛盾,卡
已有一半又制一半,判
负负得正,止
出口成章,吝
宣德瓷器,盟
日出有景,京
一日恰逢兄台来,比
油画一幅挂帘前,演
片云残月带三星,泓
平桥改造见奇观,罕
十二月江西见面,清
不拘一格,呸
及早自立谱新篇,章
不得不露头,杯
林木森森,杂
点火就可燃滴水能润苗,尧
从上往下数只有人一口,合
先先后后见是非,靠
多点爱心来安家,嫁
杏枝又飘残叶落,林
山西省阴,亚
十两多一点,斥
妇女翻身,嬉
田字不出头不许申甲由一笔添成字算你是将才,团
一家十一口一家二十口两家合一起万事都不愁,喜
男人的世界,妩
万万见不得人,乙
有人不正无人不圆,扁
酉时一到自然醒,星
月下二人踏碎冰,滕
吃尽苦头三十日,胡
只要有才就能生财,贝
洪武口谕,诛
扑灭火星,一
喜上眉梢,声
句中有一字每月猜三次就是秀才猜也得猜十日,旬
窗前飞燕探头来,挖
丢人现丑,件
海棠开后残梅落,淌
家有小女十一出嫁,尘
需要下面团结,耍
平反回来住西城,墙
问心只自可对苍穹,吴
双方以仁相待,倡
点清数目方知大,方
奋力大扫除,男
断桥残雪看不足,霜
春秋战国后,臻
某人一直都不在,甘
一统江东吴始立,呈
前轮不见了,轶
只因改革得安宁,寄
田字出头不一点不念申甲由若念申甲由不是好秀才,神
明日分离无人相伴,胖
星出日落,生
一退六二五,辛
高老头,主
大口加小口猜回你别走要是猜作咽还不放你走,固
龙凤胎,好
一口说出两个日,唱
一气之下拂手而去,氟
独驾一舟千里去,元
秋波相送董仲颖,棹
唐宋八家杨州八怪,做
一日不见如三月兮,晨
宋字去了盖不做木字猜,李
推门望一望门里一大将你说关云长他说楚霸王,扇
个个相助汗水流,竿
一手力量大如天竟能搬到一座山,扫
孔雀东南飞,孙
红梅开后冬已残,绦
雨天没有晴天有田里没有堤上有云南没有贵阳有,日
春末夏初,旦
人人围着坐,土
见脚就踢,易
从前有个人,众
有点曲折,之
三五成群,积
立字当头为之一新,析
其中真心差几许,一
残月高高远山重,弦
分离前后,凶
有兄妹无儿女,味
上也日下也日早也热晚也热,暑
有水可养鱼虾有土可种庄稼,也
八九点钟的太阳,晨
除夕之夜,多
十日谈,询
且到江东去,沮
跳者有走者无高者有矮者无智者有蠢者无右边有左边无凉天有热天无,口
满汉全席,妩
南字反方向口字在中央上下廿四点捉虫是健将,燕
层云隐去月当头,屑
三人骑头无角牛,奉
遇水一片汪洋逢木可闻花香,每
前前后后和为善,羊
上面牵头下面紧跟中间一一配合,奈
一横一横又一横一竖一竖又一竖一撇一撇又一撇一捺一捺又一捺,森
今别贵州去,黑
田里跑到田外不能当做古字猜,叶
待到重阳日,晶
牛羊住一起羊尾都挤偏,羞
两水会时见清浊,蜻
宝贝嘴巴长头顶,员
小女月下多娇俏,侨
沧海变桑田,汗
低声相依来说媒,楣
上下前后都能找到,一
有水能掀三尺浪,粮
冀南没有冀中无,北
八十八家家有它,米
黑狗,默
太阳落到西边,晒
夫不出头鸟儿旋,天
尔字有人陪,你
十个太阳十个月亮,朝
休把旁人抬太高,乐
座上没有人,庄
千人居北佩着刀,剩
肥一半瘦一半,疤
耳有所闻,门
我是人,俄
新婚之夜没有床,音
彩虹,艳
结实,夥
言对青山不是青,请
一天又一天,昌
四方同心,愣
四张嘴有头有尾,电
半价出售,催
真一半假一半,俱
门里有个人,闪
桥下来会友,爱
告别,扮
一人拉弓卧草中,荑
手高眼低,看
两狗谈天,狱
钢丝绳上走,丛
老一半早一半,者
半册多一点,丹
七个人捡贝壳,货
千里归家,闯
山水紧相连,汕
无边落木萧萧下,日
又到村里来,树
身高一寸,射
羊的眼睛,着
一到就坏,夕
一直真心相对,非
一边有水一边干,汗
两个口一条心,串
正说话,证
一二三四五六七八九十,垤
小狗身上长满了嘴,器
拜佛,拿
齐心同上高山,岗
驷马难追,诎
柴门闻犬吠,润
石头撑起一座山,岩
猜字谜七十二小时,晶
画中不是田,十
心有圣人,怪
大河上下顿失滔滔,奇
天下太平,晏
只剩下耳朵,除
喜事临门日在心,间
六一儿童节,竟
汽车到了站乘客人不见,乖
前滚翻,潘
立着的木桩子,亲
少林寺旁有两人,待
本聚在元宵,舞
嘴巴长痘,凸
多一半加一口,名
中午聊天,许
半路出家,阁
千里共婵娟,肿
什么车没有轮,风
水禽,鸿
看见草帽,宽
闪动,们
是也不是,地
南岛风光,岚
又来一个,双
早安,晏
脱口而出,咄
门里阳光照门外雨飘飘,涧
月亮退下,腿
暗送秋波眼睛闭,眹
不张嘴问用耳听,闻
埋头创业干在前,垭
少走几步,赻
知道就说,智
看万山红遍,瞅
不行水路,赶
九横六竖,晶
大脚丫,距
天下同心,合
心中有我,悟
老辣,辜
划拳,批
文武双全的富二代,娬
不走,还
九加九,木
一棒敲开天,未
一百八十两,析
命令舌头不见了,古
学会一半,尝
十一相逢当碰杯,干
一心工作到白头,忤
让子弹飞,了
没有脚就危险了,危
星星和月亮,腥
甘心隐退,廿
大小通吃,尖
我有一物生得巧半边鳞甲半边毛,鲜
一脚踢球射门,以
东方的太阳,晋
别走,还
木钩一点,朩
丢了钱,铁
金木水火土,衙
我独不得出,圄
十加二十,卉
举手之劳,捞
了却心愿开小厂,白
有钱,贿
狗王之言,诳
不是鸡毛是宝玉,翡
待字闺中找婆家,嫁
春夜喜雨,泰
人举双手,火
我和猪,象
大中小日,晿
非典非典携手清除,排
夕阳西下把话说,名
家有千金一枚,嫁
雨后天晴太阳隐,清
手足情深,捉
木偶的脸,检
千人一家,稼
西餐不可少,刈
句子,鼩
半山半水,汕
三人在天上,奏
徒步的文人,这
冲出包围送出关,违
火锅,烫
乔老爷上轿,车
两个高尚的手,撑
中国开放有奔头,因
一来就坏事,歹
散打选手,撒
残月映湖中,舌
茅屋,芦
初一到十五,胖
带头改革务必出力,麦
遇水则清遇火则明,登
睡前熄灯,盯
残月北斗一星沉,沁
初秋女装,委
不是四,罪
一斤出头,岳
元旦前后共相聚,其
文明交通,效
变心又惹是非,怪
明月隐高树,杳
没有恒心一事无成,旦
一心为别人,舒
黛玉,婪
每日一句,昫
王的圣旨,玲
令堂,诲
亲人分别,禽
三点河旁落,可
门内有耳听得见,闻
病来如山倒,疟
白吃一口,乞
一颗爱国心,宝
台湾同胞的心,怡
山东风光二日游,鲸
头带金冠称大王,全
西施,俪
一大一小用手按,捺
未落一字泪两行,湘
有手有脚,捉
左十八右十八,林
十一个月亮,肝
孤山之夜,岁
前前后后团结一致,豆
一应俱全,仝
山影重叠云散动,幼
远看像头牛近看没有头,午
家在石头城畔住,琚
以身作则,侧
又上小桥头,椒
金裤衩,钗
心里满是泪水,感
异乡奇遇,绮
童声组合,竟
不努力又被淘汰,女
花前月下陈前情,荫
儿女成双,好
一心到宁波,恿
孙二娘会夫,靓
力大无穷被草压,荔
日色过午,昧
同心干改革,旱
骏马奔驰去不还,逡
叩见君王,现
户下占一位,启
